slug,formula,type,math_ok,result,issue,math_score,steps_score,unique_score,intent_score,inlink_score,ux_score,meta_score,total,status,auto_fail,sitemap_eligible
"derivative-of-8sinx","8*sin(x)","trig","Yes","8*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-9cosx","9*cos(x)","trig","Yes","-9*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-9sinx","9*sin(x)","trig","Yes","9*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-10","acos(x/10)","inverse-trig","Yes","(-1/10)*sqrt((-1/100)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-2","acos(x/2)","inverse-trig","Yes","(-1/2)*sqrt((-1/4)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-3","acos(x/3)","inverse-trig","Yes","(-1/3)*sqrt((-1/9)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-4","acos(x/4)","inverse-trig","Yes","(-1/4)*sqrt((-1/16)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-5","acos(x/5)","inverse-trig","Yes","(-1/5)*sqrt((-1/25)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-6","acos(x/6)","inverse-trig","Yes","(-1/6)*sqrt((-1/36)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-7","acos(x/7)","inverse-trig","Yes","(-1/7)*sqrt((-1/49)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-8","acos(x/8)","inverse-trig","Yes","(-1/8)*sqrt((-1/64)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-acosx-minus-over-minus-9","acos(x/9)","inverse-trig","Yes","(-1/9)*sqrt((-1/81)*x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-arccos-x","acos(x)","inverse-trig","Yes","-sqrt(-x^2+1)^(-1)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-10x","e^(10*x)","exponential","Yes","10*e^(10*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-11x","e^(11*x)","exponential","Yes","11*e^(11*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-12x","e^(12*x)","exponential","Yes","12*e^(12*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-13x","e^(13*x)","exponential","Yes","13*e^(13*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-14x","e^(14*x)","exponential","Yes","14*e^(14*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-15x","e^(15*x)","exponential","Yes","15*e^(15*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-2x","e^(2*x)","exponential","Yes","2*e^(2*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-3x","e^(3*x)","exponential","Yes","3*e^(3*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-4x","e^(4*x)","exponential","Yes","4*e^(4*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-e-minus-to-minus-the-minus-5x","e^(5*x)","exponential","Yes","5*e^(5*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln10x","ln(10*x)","log","No","10*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln11x","ln(11*x)","log","No","11*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln12x","ln(12*x)","log","No","12*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln13x","ln(13*x)","log","No","13*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln14x","ln(14*x)","log","No","14*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln15x","ln(15*x)","log","No","15*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln3x","ln(3*x)","log","No","3*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln4x","ln(4*x)","log","No","4*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln5x","ln(5*x)","log","No","5*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-ln6x","ln(6*x)","log","No","6*ln","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-10x-minus-to-minus-the-minus-10","10*x^10","product","Yes","100*x^9","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-11x-minus-to-minus-the-minus-11","11*x^11","product","Yes","121*x^10","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-12x-minus-to-minus-the-minus-12","12*x^12","product","Yes","144*x^11","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-13x-minus-to-minus-the-minus-13","13*x^13","product","Yes","169*x^12","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-14x-minus-to-minus-the-minus-14","14*x^14","product","Yes","196*x^13","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-15x-minus-to-minus-the-minus-15","15*x^15","product","Yes","225*x^14","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-16x-minus-to-minus-the-minus-16","16*x^16","product","Yes","256*x^15","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-17x-minus-to-minus-the-minus-17","17*x^17","product","Yes","289*x^16","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-18x-minus-to-minus-the-minus-18","18*x^18","product","Yes","324*x^17","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-19x-minus-to-minus-the-minus-19","19*x^19","product","Yes","361*x^18","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-10-minus-over-minus-x","10/x","quotient","Yes","-10*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-2-minus-over-minus-x","2/x","quotient","Yes","-2*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-3-minus-over-minus-x","3/x","quotient","Yes","-3*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-4-minus-over-minus-x","4/x","quotient","Yes","-4*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-5-minus-over-minus-x","5/x","quotient","Yes","-5*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-6-minus-over-minus-x","6/x","quotient","Yes","-6*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-7-minus-over-minus-x","7/x","quotient","Yes","-7*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-8-minus-over-minus-x","8/x","quotient","Yes","-8*x^(-2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sqrt10x","sqrt(10*x)","root","Yes","(1/2)*sqrt(10)*x^(-1/2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sqrt2x","sqrt(2*x)","root","Yes","(1/2)*sqrt(2)*x^(-1/2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sqrt3x","sqrt(3*x)","root","Yes","(1/2)*sqrt(3)*x^(-1/2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sqrt4x","sqrt(4*x)","root","Yes","x^(-1/2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sqrt5x","sqrt(5*x)","root","Yes","(1/2)*sqrt(5)*x^(-1/2)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-cosh8x","cosh(8*x)","trig","Yes","8*sinh(8*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-cosh10x","cosh(10*x)","trig","Yes","10*sinh(10*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-xln3x","x*ln(3*x)","log","No","6*ln*x","ln被当作常数，导数错误","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sin12x","sin(12*x)","trig","Yes","12*cos(12*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-log-x","log(x)","log","No","x^(-1)","log(x)在nerdamer中为自然对数，但页面文案标注base10，语义不一致","",5,8,8,5,3,3,32,"RED","数学答案错误(ln/log语义bug); SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-minus-to-minus-the-minus-2cosx","x^2*cos(x)","trig","Yes","-sin(x)*x^2+2*cos(x)*x","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-cosh5x","cosh(5*x)","trig","Yes","5*sinh(5*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-cos4x-minus-plus-minus-5","cos(4*x+5)","trig","Yes","-4*sin(4*x+5)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-minus-to-minus-the-minus-10coshx","x^10*cosh(x)","trig","Yes","10*cosh(x)*x^9+sinh(x)*x^10","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-minus-to-minus-the-minus-17","x^17","power","Yes","17*x^16","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sin3x-minus-plus-minus-3","sin(3*x+3)","trig","Yes","3*cos(3+3*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-minus-to-minus-the-minus-19","x^19","power","Yes","19*x^18","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-minus-to-minus-the-minus-5cosx","x^5*cos(x)","trig","Yes","-sin(x)*x^5+5*cos(x)*x^4","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-tan5xsec5x","tan(5*x)*sec(5*x)","trig","Yes","5*sec(5*x)*tan(5*x)^2+5*sec(5*x)^3","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-cos3x-minus-plus-minus-2","cos(3*x+2)","trig","Yes","-3*sin(2+3*x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
