slug,library_formula,formula_rendered_before_fix
derivative-of-cos5x,"cos(5*x)","cos(5x)"
derivative-of-tan5x,"tan(5*x)","tan(5x)"
derivative-of-5sinx,"5*sin(x)","5sinx"
derivative-of-5cosx,"5*cos(x)","5cosx"
derivative-of-sin6x,"sin(6*x)","sin(6x)"
derivative-of-cos6x,"cos(6*x)","cos(6x)"
derivative-of-tan6x,"tan(6*x)","tan(6x)"
derivative-of-6sinx,"6*sin(x)","6sinx"
derivative-of-6cosx,"6*cos(x)","6cosx"
derivative-of-sin7x,"sin(7*x)","sin(7x)"
derivative-of-cos7x,"cos(7*x)","cos(7x)"
derivative-of-tan7x,"tan(7*x)","tan(7x)"
derivative-of-7sinx,"7*sin(x)","7sinx"
derivative-of-7cosx,"7*cos(x)","7cosx"
derivative-of-sin8x,"sin(8*x)","sin(8x)"
derivative-of-cos8x,"cos(8*x)","cos(8x)"
derivative-of-tan8x,"tan(8*x)","tan(8x)"
derivative-of-8sinx,"8*sin(x)","8sinx"
derivative-of-8cosx,"8*cos(x)","8cosx"
derivative-of-sin9x,"sin(9*x)","sin(9x)"
derivative-of-cos9x,"cos(9*x)","cos(9x)"
derivative-of-tan9x,"tan(9*x)","tan(9x)"
derivative-of-9sinx,"9*sin(x)","9sinx"
derivative-of-9cosx,"9*cos(x)","9cosx"
derivative-of-sin10x,"sin(10*x)","sin(10x)"
derivative-of-cos10x,"cos(10*x)","cos(10x)"
derivative-of-tan10x,"tan(10*x)","tan(10x)"
derivative-of-10sinx,"10*sin(x)","10sinx"
derivative-of-10cosx,"10*cos(x)","10cosx"
derivative-of-sin11x,"sin(11*x)","sin(11x)"
derivative-of-cos11x,"cos(11*x)","cos(11x)"
derivative-of-tan11x,"tan(11*x)","tan(11x)"
derivative-of-11sinx,"11*sin(x)","11sinx"
derivative-of-11cosx,"11*cos(x)","11cosx"
derivative-of-sin12x,"sin(12*x)","sin(12x)"
derivative-of-cos12x,"cos(12*x)","cos(12x)"
derivative-of-tan12x,"tan(12*x)","tan(12x)"
derivative-of-12sinx,"12*sin(x)","12sinx"
derivative-of-12cosx,"12*cos(x)","12cosx"
derivative-of-sin13x,"sin(13*x)","sin(13x)"
derivative-of-cos13x,"cos(13*x)","cos(13x)"
derivative-of-tan13x,"tan(13*x)","tan(13x)"
derivative-of-13sinx,"13*sin(x)","13sinx"
derivative-of-13cosx,"13*cos(x)","13cosx"
derivative-of-sin14x,"sin(14*x)","sin(14x)"
derivative-of-cos14x,"cos(14*x)","cos(14x)"
derivative-of-tan14x,"tan(14*x)","tan(14x)"
derivative-of-14sinx,"14*sin(x)","14sinx"
derivative-of-14cosx,"14*cos(x)","14cosx"
derivative-of-sin15x,"sin(15*x)","sin(15x)"
derivative-of-cos15x,"cos(15*x)","cos(15x)"
derivative-of-tan15x,"tan(15*x)","tan(15x)"
derivative-of-15sinx,"15*sin(x)","15sinx"
derivative-of-15cosx,"15*cos(x)","15cosx"
derivative-of-e-minus-to-minus-the-minus-2x,"e^(2*x)","e-to-the-2x"
derivative-of-2-minus-to-minus-the-minus-x,"2^x","2-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-2x,"x*e^(2*x)","xe-to-the-2x"
derivative-of-e-minus-to-minus-the-minus-3x,"e^(3*x)","e-to-the-3x"
derivative-of-3-minus-to-minus-the-minus-x,"3^x","3-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-3x,"x*e^(3*x)","xe-to-the-3x"
derivative-of-e-minus-to-minus-the-minus-4x,"e^(4*x)","e-to-the-4x"
derivative-of-4-minus-to-minus-the-minus-x,"4^x","4-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-4x,"x*e^(4*x)","xe-to-the-4x"
derivative-of-e-minus-to-minus-the-minus-5x,"e^(5*x)","e-to-the-5x"
derivative-of-5-minus-to-minus-the-minus-x,"5^x","5-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-5x,"x*e^(5*x)","xe-to-the-5x"
derivative-of-e-minus-to-minus-the-minus-6x,"e^(6*x)","e-to-the-6x"
derivative-of-6-minus-to-minus-the-minus-x,"6^x","6-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-6x,"x*e^(6*x)","xe-to-the-6x"
derivative-of-e-minus-to-minus-the-minus-7x,"e^(7*x)","e-to-the-7x"
derivative-of-7-minus-to-minus-the-minus-x,"7^x","7-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-7x,"x*e^(7*x)","xe-to-the-7x"
derivative-of-e-minus-to-minus-the-minus-8x,"e^(8*x)","e-to-the-8x"
derivative-of-8-minus-to-minus-the-minus-x,"8^x","8-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-8x,"x*e^(8*x)","xe-to-the-8x"
derivative-of-e-minus-to-minus-the-minus-9x,"e^(9*x)","e-to-the-9x"
derivative-of-9-minus-to-minus-the-minus-x,"9^x","9-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-9x,"x*e^(9*x)","xe-to-the-9x"
derivative-of-e-minus-to-minus-the-minus-10x,"e^(10*x)","e-to-the-10x"
derivative-of-10-minus-to-minus-the-minus-x,"10^x","10-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-10x,"x*e^(10*x)","xe-to-the-10x"
derivative-of-e-minus-to-minus-the-minus-11x,"e^(11*x)","e-to-the-11x"
derivative-of-11-minus-to-minus-the-minus-x,"11^x","11-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-11x,"x*e^(11*x)","xe-to-the-11x"
derivative-of-e-minus-to-minus-the-minus-12x,"e^(12*x)","e-to-the-12x"
derivative-of-12-minus-to-minus-the-minus-x,"12^x","12-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-12x,"x*e^(12*x)","xe-to-the-12x"
derivative-of-e-minus-to-minus-the-minus-13x,"e^(13*x)","e-to-the-13x"
derivative-of-13-minus-to-minus-the-minus-x,"13^x","13-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-13x,"x*e^(13*x)","xe-to-the-13x"
derivative-of-e-minus-to-minus-the-minus-14x,"e^(14*x)","e-to-the-14x"
derivative-of-14-minus-to-minus-the-minus-x,"14^x","14-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-14x,"x*e^(14*x)","xe-to-the-14x"
derivative-of-e-minus-to-minus-the-minus-15x,"e^(15*x)","e-to-the-15x"
derivative-of-15-minus-to-minus-the-minus-x,"15^x","15-to-the-x"
derivative-of-xe-minus-to-minus-the-minus-15x,"x*e^(15*x)","xe-to-the-15x"
derivative-of-ln2x,"ln(2*x)","ln(2x)"
derivative-of-xln2x,"x*ln(2*x)","xln^2x"
derivative-of-ln3x,"ln(3*x)","ln(3x)"
derivative-of-xln3x,"x*ln(3*x)","xln^3x"
derivative-of-ln4x,"ln(4*x)","ln(4x)"
derivative-of-xln4x,"x*ln(4*x)","xln^4x"
derivative-of-ln5x,"ln(5*x)","ln(5x)"
derivative-of-xln5x,"x*ln(5*x)","xln^5x"
derivative-of-ln6x,"ln(6*x)","ln(6x)"
derivative-of-xln6x,"x*ln(6*x)","xln^6x"
derivative-of-ln7x,"ln(7*x)","ln(7x)"
derivative-of-xln7x,"x*ln(7*x)","xln^7x"
derivative-of-ln8x,"ln(8*x)","ln(8x)"
derivative-of-xln8x,"x*ln(8*x)","xln^8x"
derivative-of-ln9x,"ln(9*x)","ln(9x)"
derivative-of-xln9x,"x*ln(9*x)","xln^9x"
derivative-of-ln10x,"ln(10*x)","ln(10x)"
derivative-of-xln10x,"x*ln(10*x)","xln^10x"
derivative-of-ln11x,"ln(11*x)","ln(11x)"
derivative-of-xln11x,"x*ln(11*x)","xln^11x"
derivative-of-ln12x,"ln(12*x)","ln(12x)"
derivative-of-xln12x,"x*ln(12*x)","xln^12x"
derivative-of-ln13x,"ln(13*x)","ln(13x)"
derivative-of-xln13x,"x*ln(13*x)","xln^13x"
derivative-of-ln14x,"ln(14*x)","ln(14x)"
derivative-of-xln14x,"x*ln(14*x)","xln^14x"
derivative-of-ln15x,"ln(15*x)","ln(15x)"
derivative-of-xln15x,"x*ln(15*x)","xln^15x"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2,"1/x^2","(1-)/(-x-to-the-2)"
derivative-of-2-minus-over-minus-x,"2/x","(2-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-3,"1/x^3","(1-)/(-x-to-the-3)"
derivative-of-3-minus-over-minus-x,"3/x","(3-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-4,"1/x^4","(1-)/(-x-to-the-4)"
derivative-of-4-minus-over-minus-x,"4/x","(4-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-5,"1/x^5","(1-)/(-x-to-the-5)"
derivative-of-5-minus-over-minus-x,"5/x","(5-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-6,"1/x^6","(1-)/(-x-to-the-6)"
derivative-of-6-minus-over-minus-x,"6/x","(6-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-7,"1/x^7","(1-)/(-x-to-the-7)"
derivative-of-7-minus-over-minus-x,"7/x","(7-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-8,"1/x^8","(1-)/(-x-to-the-8)"
derivative-of-8-minus-over-minus-x,"8/x","(8-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-9,"1/x^9","(1-)/(-x-to-the-9)"
derivative-of-9-minus-over-minus-x,"9/x","(9-)/(-x)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-10,"1/x^10","(1-)/(-x-to-the-10)"
derivative-of-10-minus-over-minus-x,"10/x","(10-)/(-x)"
derivative-of-sqrt2x,"sqrt(2*x)","sqrt(2x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-2,"x^(1/2)","(x-to-the-1-)/(-2)"
derivative-of-sqrt3x,"sqrt(3*x)","sqrt(3x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-3,"x^(1/3)","(x-to-the-1-)/(-3)"
derivative-of-sqrt4x,"sqrt(4*x)","sqrt(4x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-4,"x^(1/4)","(x-to-the-1-)/(-4)"
derivative-of-sqrt5x,"sqrt(5*x)","sqrt(5x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-5,"x^(1/5)","(x-to-the-1-)/(-5)"
derivative-of-sqrt6x,"sqrt(6*x)","sqrt(6x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-6,"x^(1/6)","(x-to-the-1-)/(-6)"
derivative-of-sqrt7x,"sqrt(7*x)","sqrt(7x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-7,"x^(1/7)","(x-to-the-1-)/(-7)"
derivative-of-sqrt8x,"sqrt(8*x)","sqrt(8x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-8,"x^(1/8)","(x-to-the-1-)/(-8)"
derivative-of-sqrt9x,"sqrt(9*x)","sqrt(9x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-9,"x^(1/9)","(x-to-the-1-)/(-9)"
derivative-of-sqrt10x,"sqrt(10*x)","sqrt(10x)"
derivative-of-x-minus-to-minus-the-minus-1-minus-over-minus-10,"x^(1/10)","(x-to-the-1-)/(-10)"
derivative-of-asin2x,"asin(2*x)","asin^2x"
derivative-of-atan2x,"atan(2*x)","atan^2x"
derivative-of-asin3x,"asin(3*x)","asin^3x"
derivative-of-atan3x,"atan(3*x)","atan^3x"
derivative-of-asin4x,"asin(4*x)","asin^4x"
derivative-of-atan4x,"atan(4*x)","atan^4x"
derivative-of-asin5x,"asin(5*x)","asin^5x"
derivative-of-atan5x,"atan(5*x)","atan^5x"
derivative-of-asin6x,"asin(6*x)","asin^6x"
derivative-of-atan6x,"atan(6*x)","atan^6x"
derivative-of-asin7x,"asin(7*x)","asin^7x"
derivative-of-atan7x,"atan(7*x)","atan^7x"
derivative-of-asin8x,"asin(8*x)","asin^8x"
derivative-of-atan8x,"atan(8*x)","atan^8x"
derivative-of-asin9x,"asin(9*x)","asin^9x"
derivative-of-atan9x,"atan(9*x)","atan^9x"
derivative-of-asin10x,"asin(10*x)","asin^10x"
derivative-of-atan10x,"atan(10*x)","atan^10x"
derivative-of-sinh2x,"sinh(2*x)","sin(h^2x)"
derivative-of-cosh2x,"cosh(2*x)","cos(h^2x)"
derivative-of-sinh3x,"sinh(3*x)","sin(h^3x)"
derivative-of-cosh3x,"cosh(3*x)","cos(h^3x)"
derivative-of-sinh4x,"sinh(4*x)","sin(h^4x)"
derivative-of-cosh4x,"cosh(4*x)","cos(h^4x)"
derivative-of-sinh5x,"sinh(5*x)","sin(h^5x)"
derivative-of-cosh5x,"cosh(5*x)","cos(h^5x)"
derivative-of-sinh6x,"sinh(6*x)","sin(h^6x)"
derivative-of-cosh6x,"cosh(6*x)","cos(h^6x)"
derivative-of-sinh7x,"sinh(7*x)","sin(h^7x)"
derivative-of-cosh7x,"cosh(7*x)","cos(h^7x)"
derivative-of-sinh8x,"sinh(8*x)","sin(h^8x)"
derivative-of-cosh8x,"cosh(8*x)","cos(h^8x)"
derivative-of-sinh9x,"sinh(9*x)","sin(h^9x)"
derivative-of-cosh9x,"cosh(9*x)","cos(h^9x)"
derivative-of-sinh10x,"sinh(10*x)","sin(h^10x)"
derivative-of-cosh10x,"cosh(10*x)","cos(h^10x)"
derivative-of-x-minus-to-minus-the-minus-2sinx,"x^2*sin(x)","x-to-the-2sinx"
derivative-of-x-minus-to-minus-the-minus-2cosx,"x^2*cos(x)","x-to-the-2cosx"
derivative-of-x-minus-to-minus-the-minus-2e-minus-to-minus-the-minus-x,"x^2*e^x","x-to-the-2e-to-the-x"
derivative-of-sinx-minus-over-minus-x-minus-to-minus-the-minus-2,"sin(x)/x^2","(sin(x)-)/(-x-to-the-2)"
derivative-of-e-minus-to-minus-the-minus-x-minus-over-minus-x-minus-to-minus-the-minus-2,"e^x/x^2","(e-to-the-x-)/(-x-to-the-2)"
derivative-of-x-minus-to-minus-the-minus-3sinx,"x^3*sin(x)","x-to-the-3sinx"
derivative-of-x-minus-to-minus-the-minus-3cosx,"x^3*cos(x)","x-to-the-3cosx"
derivative-of-x-minus-to-minus-the-minus-3e-minus-to-minus-the-minus-x,"x^3*e^x","x-to-the-3e-to-the-x"
derivative-of-sinx-minus-over-minus-x-minus-to-minus-the-minus-3,"sin(x)/x^3","(sin(x)-)/(-x-to-the-3)"
derivative-of-e-minus-to-minus-the-minus-x-minus-over-minus-x-minus-to-minus-the-minus-3,"e^x/x^3","(e-to-the-x-)/(-x-to-the-3)"
derivative-of-x-minus-to-minus-the-minus-4sinx,"x^4*sin(x)","x-to-the-4sinx"
derivative-of-x-minus-to-minus-the-minus-4cosx,"x^4*cos(x)","x-to-the-4cosx"
derivative-of-x-minus-to-minus-the-minus-4e-minus-to-minus-the-minus-x,"x^4*e^x","x-to-the-4e-to-the-x"
derivative-of-sinx-minus-over-minus-x-minus-to-minus-the-minus-4,"sin(x)/x^4","(sin(x)-)/(-x-to-the-4)"
derivative-of-e-minus-to-minus-the-minus-x-minus-over-minus-x-minus-to-minus-the-minus-4,"e^x/x^4","(e-to-the-x-)/(-x-to-the-4)"
derivative-of-x-minus-to-minus-the-minus-5sinx,"x^5*sin(x)","x-to-the-5sinx"
derivative-of-x-minus-to-minus-the-minus-5cosx,"x^5*cos(x)","x-to-the-5cosx"
derivative-of-x-minus-to-minus-the-minus-5e-minus-to-minus-the-minus-x,"x^5*e^x","x-to-the-5e-to-the-x"
derivative-of-sinx-minus-over-minus-x-minus-to-minus-the-minus-5,"sin(x)/x^5","(sin(x)-)/(-x-to-the-5)"
derivative-of-e-minus-to-minus-the-minus-x-minus-over-minus-x-minus-to-minus-the-minus-5,"e^x/x^5","(e-to-the-x-)/(-x-to-the-5)"
derivative-of-sin2x-minus-plus-minus-cos2x,"sin(2*x)+cos(2*x)","sin(2x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(2*x)+x^2","e-to-the-2x-+-x-to-the-2"
derivative-of-sin2x-minus-plus-minus-cos3x,"sin(2*x)+cos(3*x)","sin(2x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(2*x)+x^3","e-to-the-2x-+-x-to-the-3"
derivative-of-sin2x-minus-plus-minus-cos4x,"sin(2*x)+cos(4*x)","sin(2x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(2*x)+x^4","e-to-the-2x-+-x-to-the-4"
derivative-of-sin2x-minus-plus-minus-cos5x,"sin(2*x)+cos(5*x)","sin(2x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(2*x)+x^5","e-to-the-2x-+-x-to-the-5"
derivative-of-sin3x-minus-plus-minus-cos2x,"sin(3*x)+cos(2*x)","sin(3x)-+-cos(2x)"
